,Unnamed: 0,Text,Label,socialMediaAbuse,socialMediaAbuse_socialMediaAbuse
16,16,illuminating if overly talky documentary .,1,"[499, 7647, 2528, 452, 6058]",1
17,17,a masterpiece four years in the making .,1,"[1736, 615, 921, 3360, 1167]",1
18,18,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,"[1671, 2757, 1456, 3000, 2001]",1
19,19,offers a breath of the fresh air of true sophistication .,1,"[1839, 5389, 1231, 5793, 463]",1
20,20,"a thoughtful , provocative , insistently humanizing film .",1,"[1066, 2999, 711, 668, 1044]",1
21,21,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,"[7187, 770, 2090, 1128, 630]",1
22,22,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,"[733, 2587, 508, 4357, 2199]",1
23,23,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,"[1727, 311, 4017, 5200, 1067]",1
24,24,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,"[4618, 2893, 2666, 6620, 1779]",1
25,25,"occasionally melodramatic , it's also extremely effective .",1,"[5630, 1950, 309, 3373, 1752]",1
26,26,spiderman rocks,1,"[3155, 3641, 2981, 3654, 474]",1
27,27,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,"[1768, 985, 8344, 3121, 624]",1
28,28,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,"[7426, 561, 7074, 6046, 1318]",0
29,29,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,"[4684, 8250, 1080, 697, 607]",1
30,30,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,"[2434, 3172, 2763, 1414, 4393]",1
31,31,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,"[3499, 3430, 320, 2468, 3272]",1
32,32,"light , cute and forgettable .",1,"[639, 3450, 4189, 2732, 3844]",0
33,33,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,"[8373, 1451, 6107, 6798, 6548]",1
34,34,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,"[1842, 1643, 2120, 5057, 2805]",1
35,35,"though everything might be literate and smart , it never took off and always seemed static .",1,"[5008, 5024, 5288, 4419, 6218]",0
36,36,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,"[2510, 3617, 7179, 7800, 172]",1
37,37,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,"[2608, 6244, 6635, 1283, 2730]",0
38,38,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,"[3309, 7950, 5584, 4412, 6847]",1
39,39,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,"[6453, 3810, 5724, 4714, 575]",0
40,40,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,"[7301, 8401, 7082, 1244, 7607]",1
41,41,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,"[5201, 414, 5784, 3637, 6722]",0
42,42,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,"[2812, 6882, 7110, 8337, 3881]",1
43,43,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,"[4166, 3948, 4173, 3250, 2986]",1
44,44,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,"[1015, 707, 3657, 2292, 1060]",1
45,45,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,"[6407, 3791, 4014, 3078, 812]",1
46,46,gosling provides an amazing performance that dwarfs everything else in the film .,1,"[3665, 7481, 2894, 3784, 655]",1
47,47,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,"[3966, 868, 3243, 6662, 2962]",1
48,48,tender yet lacerating and darkly funny fable .,1,"[1092, 827, 2895, 5753, 1860]",1
49,49,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,"[6091, 887, 5841, 4407, 8296]",1
50,50,an engaging overview of johnson's eccentric career .,1,"[343, 7143, 678, 3401, 919]",1
51,51,"in its ragged , cheap and unassuming way , the movie works .",1,"[2007, 4023, 3367, 3430, 5981]",1
52,52,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,"[4757, 7267, 8401, 437, 7409]",1
53,53,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,"[1780, 6368, 2744, 4386, 2289]",1
54,54,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,"[2146, 4946, 1258, 8350, 5346]",1
55,55,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,"[6671, 658, 3001, 3416, 4968]",1
56,56,"manages to be original , even though it rips off many of its ideas .",1,"[7425, 6776, 2173, 4286, 6681]",1
57,57,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,"[6863, 3777, 5445, 700, 1075]",1
58,58,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,"[5327, 2249, 151, 630, 538]",1
59,59,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,"[2785, 1873, 6197, 7021, 122]",1
60,60,"a pleasant enough movie , held together by skilled ensemble actors .",1,"[3143, 1888, 446, 1044, 1066]",1
61,61,this is the best american movie about troubled teens since 1998's whatever .,1,"[2004, 3578, 1964, 3966, 7741]",1
62,62,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,"[545, 5072, 8202, 7859, 6516]",1
63,63,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,"[3901, 2770, 794, 670, 4074]",1
64,64,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,"[2431, 1681, 4100, 3542, 3926]",1
65,65,the invincible werner herzog is alive and well and living in la,1,"[3484, 1979, 2741, 7826, 8219]",1
66,66,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",1,"[1327, 2168, 300, 2730, 3764]",0
67,67,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1,"[8080, 3321, 7857, 3295, 650]",1
68,68,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1,"[2872, 1664, 3619, 2077, 1668]",1
69,69,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1,"[1993, 70, 1382, 2529, 4175]",1
70,70,"a taut , intelligent psychological drama .",1,"[1993, 1382, 3227, 3382, 1507]",1
71,71,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,1,"[1993, 3141, 1247, 2736, 1382]",1
72,72,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",1,"[239, 3054, 3930, 4147, 4159]",1
73,73,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",1,"[2377, 2491, 3393, 2519, 4104]",1
74,74,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1,"[257, 4080, 2667, 7472, 7941]",1
75,75,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !",1,"[46, 3270, 655, 2980, 2571]",1
76,76,"a screenplay more ingeniously constructed than "" memento """,1,"[2365, 4207, 2125, 7951, 6919]",1
77,77,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .",1,"[293, 635, 4080, 3733, 6662]",1
78,78,haneke challenges us to confront the reality of sexual aberration .,1,"[1273, 1854, 3874, 325, 3070]",1
79,79,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,1,"[6819, 3103, 8285, 4935, 929]",1
80,80,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",1,"[3996, 3586, 3338, 1375, 327]",1
81,81,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .",1,"[3586, 327, 80, 3338, 1188]",1
82,82,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",1,"[1071, 1581, 850, 421, 168]",1
83,83,an imaginative comedy/thriller .,1,"[3028, 6706, 4073, 2998, 2000]",1
84,84,"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",1,"[2781, 2333, 7836, 4233, 5666]",1
85,85,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",1,"[5991, 163, 172, 4624, 4581]",0
86,86,"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema .",1,"[2494, 7601, 5963, 4085, 6172]",1
87,87,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",1,"[3820, 7025, 4984, 5590, 7690]",1
88,88,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes .",1,"[704, 5818, 3750, 360, 7075]",1
89,89,a sports movie with action that's exciting on the field and a story you care about off it .,1,"[1707, 1169, 3588, 1152, 3542]",1
90,90,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere .",1,"[3167, 2478, 7751, 3766, 7761]",1
91,91,the tenderness of the piece is still intact .,1,"[7207, 7551, 3362, 5036, 5335]",1
92,92,"katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself",1,"[276, 4990, 4190, 3657, 3113]",1
93,93,"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated .",1,"[2209, 534, 3966, 3273, 868]",1
94,94,while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story .,1,"[6516, 1116, 4504, 1146, 2431]",0
95,95,"if nothing else , this movie introduces a promising , unusual kind of psychological horror .",1,"[5695, 1855, 7155, 387, 8480]",1
96,96,"in a normal screen process , these bromides would be barely enough to sustain an interstitial program on the discovery channel . but in imax 3-d , the clichés disappear into the vertiginous perspectives opened up by the photography .",1,"[759, 3394, 4057, 1766, 131]",1
97,97,writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear .,1,"[1547, 7312, 2423, 4647, 2744]",1
98,98,. . . a roller-coaster ride of a movie,1,"[2609, 3705, 8007, 6138, 3900]",1
99,99,"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory .",1,"[4606, 7141, 5604, 8474, 1365]",0
100,100,"chicago is sophisticated , brash , sardonic , completely joyful in its execution .",1,"[1019, 380, 7211, 3449, 6491]",1
101,101,steve irwin's method is ernest hemmingway at accelerated speed and volume .,1,"[3500, 5531, 701, 6260, 2646]",1
102,102,a refreshing korean film about five female high school friends who face an uphill battle when they try to take their relationships into deeper waters .,1,"[3934, 4171, 7741, 2929, 2279]",1
103,103,"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique .",1,"[3241, 7523, 1720, 4051, 2421]",1
104,104,"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure .",1,"[3177, 7198, 4790, 2242, 1452]",1
105,105,"if it's possible for a sequel to outshine the original , then sl2 does just that .",1,"[5578, 6886, 8490, 7515, 892]",1
106,106,a romantic comedy that operates by the rules of its own self-contained universe .,1,"[198, 4320, 2042, 3454, 519]",1
107,107,"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip .",1,"[4395, 4461, 7151, 6616, 130]",0
108,108,the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm,1,"[2001, 1488, 4023, 4465, 3430]",1
109,109,"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists .",1,"[1547, 5853, 689, 4320, 1912]",1
110,110,a feel-good picture in the best sense of the term .,1,"[4040, 2336, 639, 853, 8227]",1
111,111,"edited and shot with a syncopated style mimicking the work of his subjects , pray turns the idea of the documentary on its head , making it rousing , invigorating fun lacking any mtv puffery .",1,"[2760, 640, 535, 2728, 5278]",1
112,112,"a mostly intelligent , engrossing and psychologically resonant suspenser .",1,"[1988, 497, 165, 6604, 2619]",1
113,113,"it's this memory-as-identity obviation that gives secret life its intermittent unease , reaffirming that long-held illusions are indeed reality , and that erasing them recasts the self .",1,"[4006, 2587, 2670, 1443, 2051]",1
114,114,"hip-hop has a history , and it's a metaphor for this love story .",1,"[985, 7289, 5892, 8379, 2463]",1
115,115,"in scope , ambition and accomplishment , children of the century . . . takes kurys' career to a whole new level .",1,"[7602, 4910, 3193, 3774, 1829]",1
116,116,"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there .",1,"[3526, 2246, 2470, 1362, 2864]",1
117,117,"between the drama of cube ? s personal revelations regarding what the shop means in the big picture , iconic characters gambol fluidly through the story , with charming results .",1,"[3136, 7606, 2331, 5395, 2858]",1
118,118,"a gentle , compassionate drama about grief and healing .",1,"[1247, 2815, 2615, 2176, 1993]",1
119,119,"somewhere short of tremors on the modern b-scene : neither as funny nor as clever , though an agreeably unpretentious way to spend ninety minutes .",1,"[7625, 2103, 3378, 767, 3215]",0
120,120,digital-video documentary about stand-up comedians is a great glimpse into a very different world .,1,"[6789, 3580, 3710, 2321, 2247]",1
121,121,"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity .",1,"[1690, 3561, 8140, 7530, 1756]",1
122,122,"an enthralling , playful film that constantly frustrates our desire to know the 'truth' about this man , while deconstructing the very format of the biography in a manner that derrida would doubtless give his blessing to .",1,"[1605, 4078, 3691, 1873, 2744]",1
123,123,""" extreme ops "" exceeds expectations . good fun , good action , good acting , good dialogue , good pace , good cinematography .",1,"[6782, 5046, 7479, 7991, 3268]",1
124,124,you should pay nine bucks for this : because you can hear about suffering afghan refugees on the news and still be unaffected . dramas like this make it human .,1,"[1581, 3077, 2815, 4365, 6451]",1
125,125,"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences .",1,"[4000, 752, 2491, 3126, 5034]",1
126,126,"it's obviously struck a responsive chord with many south koreans , and should work its magic in other parts of the world .",1,"[2927, 817, 1741, 231, 2237]",1
127,127,"run , don't walk , to see this barbed and bracing comedy on the big screen .",1,"[8409, 2453, 2309, 7051, 2824]",1
128,128,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done .,1,"[6267, 7763, 780, 634, 7606]",1
129,129,"it is nature against progress . in fessenden's horror trilogy , this theme has proved important to him and is especially so in the finale .",1,"[2866, 2439, 2199, 1533, 3212]",1
130,130,"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru .",1,"[6825, 4834, 333, 6386, 2350]",1
131,131,"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space .",1,"[3877, 2522, 7169, 4057, 3394]",1
132,132,"merely as a technical , logistical feat , russian ark marks a cinematic milestone .",1,"[1189, 4227, 3734, 1270, 3532]",1
133,133,"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists .",1,"[4223, 899, 5835, 2276, 6266]",1
134,134,it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious .,1,"[2534, 5449, 409, 4933, 226]",1
135,135,an original gem about an obsession with time .,1,"[7020, 7608, 2523, 4188, 1035]",1
136,136,it will delight newcomers to the story and those who know it from bygone days .,1,"[8204, 5837, 827, 1986, 1325]",1
137,137,gloriously goofy ( and gory ) midnight movie stuff .,1,"[2563, 3923, 913, 2426, 1436]",1
138,138,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .,1,"[7771, 6932, 2001, 6432, 3430]",1
139,139,"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket .",1,"[7538, 6963, 7386, 6161, 95]",1
140,140,"it's a minor comedy that tries to balance sweetness with coarseness , while it paints a sad picture of the singles scene .",1,"[4026, 2366, 3870, 6224, 6435]",0
141,141,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .,1,"[1439, 1640, 1088, 4113, 1525]",1
142,142,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,"[2774, 5420, 395, 3348, 4706]",1
143,143,"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism .",1,"[1471, 1080, 3611, 56, 7425]",1
144,144,"it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech .",1,"[1339, 2780, 5295, 949, 3204]",1
145,145,"far from perfect , but its heart is in the right place . . . innocent and well-meaning .",1,"[3651, 4854, 5938, 1875, 3844]",1
146,146,"a sad , superior human comedy played out on the back roads of life .",1,"[2453, 1566, 1965, 2280, 278]",1
147,147,"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality .",1,"[5178, 3118, 4511, 4108, 1931]",1
148,148,"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",1,"[1578, 7409, 443, 6429, 805]",1
149,149,"more a load of enjoyable , conan-esque claptrap than the punishing , special-effects soul assaults the mummy pictures represent .",1,"[3272, 4651, 8198, 1114, 7788]",1
150,150,"enormously likable , partly because it is aware of its own grasp of the absurd .",1,"[4019, 6725, 5282, 7528, 7948]",1
151,151,"here's a british flick gleefully unconcerned with plausibility , yet just as determined to entertain you .",1,"[3215, 3430, 2962, 7775, 1671]",1
152,152,"it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh .",1,"[7045, 4059, 4026, 7737, 4949]",1
153,153,must be seen to be believed .,1,"[3406, 2813, 7809, 714, 3976]",1
154,154,"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here .",1,"[148, 358, 7409, 5853, 7929]",0
155,155,"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true .",1,"[5512, 6669, 8434, 3151, 1652]",1
156,156,"sweet home alabama "" is what it is  a nice , harmless date film . . .",1,"[7573, 3702, 2778, 781, 3900]",1
157,157,"the year's happiest surprise , a movie that deals with a real subject in an always surprising way .",1,"[3586, 3615, 1721, 1125, 3393]",1
158,158,fans of behan's work and of irish movies in general will be rewarded by borstal boy .,1,"[296, 5054, 240, 7802, 2065]",1
159,159,"its mysteries are transparently obvious , and it's too slowly paced to be a thriller . [but it's] worth recommending because of two marvelous performances by michael caine and brendan fraser .",1,"[7177, 5031, 721, 6003, 1023]",1
160,160,"the film is faithful to what one presumes are the book's twin premises -- that we become who we are on the backs of our parents , but we have no idea who they were at our age ; and that time is a fleeting and precious commodity no matter how old you are .",1,"[3252, 476, 4154, 5846, 6662]",1
161,161,stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens .,1,"[8476, 7012, 788, 5806, 7486]",1
162,162,a solidly seaworthy chiller .,1,"[1221, 5419, 2082, 6240, 6365]",1
163,163,"if you can get past the fantastical aspects and harsh realities of "" the isle "" you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else .",1,"[5991, 85, 8441, 2016, 3969]",1
164,164,"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises .",1,"[4725, 2311, 8216, 4420, 1436]",1
165,165,a well-made thriller with a certain level of intelligence and non-reactionary morality .,1,"[860, 5259, 2998, 3028, 4045]",1
166,166,"there's enough science to make it count as educational , and enough beauty to make it unforgettable .",1,"[4470, 1758, 7270, 814, 2837]",1
167,167,"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand .",1,"[7650, 5038, 7210, 6724, 2407]",0
168,168,makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands .,1,"[82, 1581, 3697, 4365, 421]",1
169,169,"for a good chunk of its running time , trapped is an effective and claustrophobic thriller .",1,"[6462, 7911, 5048, 7901, 1507]",1
170,170,most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness .,1,"[6377, 2601, 4091, 280, 2240]",1
171,171,nair does capture the complexity of a big family and its trials and tribulations . . .,1,"[1603, 8228, 4160, 6407, 3385]",1
172,172,"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going .",1,"[3461, 3617, 85, 2887, 1665]",0
173,173,rare is the 'urban comedy' that even attempts the insight and honesty of this disarming indie .,1,"[6435, 164, 4725, 8505, 630]",1
174,174,ranks among willams' best screen work .,1,"[4419, 2724, 4488, 4990, 5778]",1
175,175,engagingly captures the maddening and magnetic ebb and flow of friendship .,1,"[258, 2280, 6223, 1154, 3841]",1
176,176,an experience so engrossing it is like being buried in a new environment .,1,"[463, 2983, 869, 6023, 7679]",1
177,177,"it's traditional moviemaking all the way , but it's done with a lot of careful period attention as well as some very welcome wit .",1,"[1235, 4949, 7343, 1779, 6075]",1
178,178,thoroughly enjoyable .,1,"[2983, 1816, 1164, 6543, 1607]",1
179,179,"maybe it's just because this past year has seen the release of some of the worst film comedies in decades . . . but honestly , analyze that really isn't all that bad .",1,"[8412, 7597, 5016, 6430, 4573]",1
180,180,"a droll , well-acted , character-driven comedy with unexpected deposits of feeling .",1,"[278, 7333, 4320, 4026, 4623]",1
181,181,this is simply the most fun you'll ever have with a documentary !,1,"[3318, 2247, 3156, 3710, 3383]",1
182,182,a very funny movie .,1,"[3738, 4103, 191, 1087, 3813]",1
183,183,"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting .",1,"[325, 1253, 5280, 883, 7873]",1
184,184,a cop story that understands the medium amazingly well .,1,"[3728, 4019, 2078, 1440, 486]",1
185,185,"one of the best , most understated performances of [jack nicholson's] career .",1,"[3233, 2828, 3086, 2160, 1469]",1
186,186,"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old superstar girls to travel on the fame freeway .",1,"[4808, 4862, 6914, 7272, 6558]",1
187,187,those outside show business will enjoy a close look at people they don't really want to know .,1,"[806, 6149, 840, 2475, 795]",0
188,188,the kind of nervous film that will either give you a mild headache or exhilarate you .,1,"[4628, 4605, 1660, 408, 3103]",1
189,189,watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it .,1,"[5549, 6726, 944, 2394, 5553]",1
190,190,"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted .",1,"[1849, 1726, 2195, 2660, 4885]",1
191,191,a fascinating and fun film .,1,"[3738, 2821, 1044, 2865, 4103]",1
192,192,"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure .",1,"[1184, 3520, 6331, 8296, 431]",1
193,193,"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance .",1,"[7041, 2777, 1005, 6823, 499]",1
194,194,i admired this work a lot .,1,"[4034, 2642, 1514, 3501, 8204]",1
195,195,"whether you're moved and love it , or bored or frustrated by the film , you'll still feel something .",1,"[7889, 2115, 2916, 1488, 3650]",1
196,196,. . . there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,"[138, 4992, 3493, 5402, 7003]",1
197,197,"my goodness , queen latifah has a lot to offer and she seemed to have no problem flaunting her natural gifts . she must have a very strong back .",1,"[4374, 4224, 6740, 680, 6603]",1
198,198,"a smart , sweet and playful romantic comedy .",1,"[2240, 3454, 519, 1502, 436]",1
199,199,australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation .,1,"[819, 255, 3263, 2727, 109]",1
200,200,"without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions .",1,"[8425, 3612, 259, 3713, 3408]",1
201,201,"solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts .",1,"[3954, 1092, 6211, 3558, 563]",1
202,202,"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting .",1,"[2126, 3814, 6288, 3775, 7009]",1
203,203,it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen .,1,"[6070, 2129, 4062, 947, 4646]",1
204,204,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke .,1,"[1974, 462, 6359, 4420, 5326]",0
205,205,"a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race .",1,"[3355, 3382, 854, 7630, 3703]",0
